"Date","Price","Open","High","Low","Vol.","Change %"
"30-10-2020","11,642.40","11,678.45","11,748.95","11,535.45","553.67M","-0.24%"
"29-10-2020","11,670.80","11,633.30","11,744.15","11,606.45","554.96M","-0.50%"
"28-10-2020","11,729.60","11,922.60","11,929.40","11,684.85","704.02M","-1.34%"
"27-10-2020","11,889.40","11,807.10","11,899.05","11,723.00","616.32M","1.03%"
"26-10-2020","11,767.75","11,937.40","11,942.85","11,711.70","519.82M","-1.36%"
"23-10-2020","11,930.35","11,957.90","11,974.55","11,908.75","502.34M","0.28%"
"22-10-2020","11,896.45","11,890.00","11,939.55","11,823.45","544.90M","-0.35%"
"21-10-2020","11,937.65","11,958.55","12,018.65","11,775.75","623.66M","0.34%"
"20-10-2020","11,896.80","11,861.00","11,949.25","11,837.25","453.56M","0.20%"
"19-10-2020","11,873.05","11,879.20","11,898.25","11,820.40","541.42M","0.94%"
"16-10-2020","11,762.45","11,727.40","11,789.75","11,667.85","555.76M","0.70%"
"15-10-2020","11,680.35","12,023.45","12,025.45","11,661.30","608.87M","-2.43%"
"14-10-2020","11,971.05","11,917.40","11,997.20","11,822.15","569.24M","0.31%"
"13-10-2020","11,934.50","11,934.65","11,988.20","11,888.90","458.30M","0.03%"
"12-10-2020","11,930.95","11,973.55","12,022.05","11,867.20","522.63M","0.14%"
"09-10-2020","11,914.20","11,852.05","11,938.60","11,805.20","611.08M","0.67%"
"08-10-2020","11,834.60","11,835.40","11,905.70","11,791.15","608.77M","0.82%"
"07-10-2020","11,738.85","11,679.25","11,763.05","11,629.35","513.37M","0.66%"
"06-10-2020","11,662.40","11,603.45","11,680.30","11,564.30","561.44M","1.38%"
"05-10-2020","11,503.35","11,487.80","11,578.05","11,452.30","530.60M","0.76%"
"01-10-2020","11,416.95","11,364.45","11,428.60","11,347.05","447.74M","1.51%"
"30-09-2020","11,247.55","11,244.45","11,295.40","11,184.55","499.34M","0.22%"
"29-09-2020","11,222.40","11,288.60","11,305.40","11,181.00","498.30M","-0.05%"
"28-09-2020","11,227.55","11,140.85","11,239.35","11,099.85","472.78M","1.60%"
"25-09-2020","11,050.25","10,910.40","11,072.60","10,854.85","559.60M","2.26%"
"24-09-2020","10,805.55","11,011.00","11,015.30","10,790.20","706.14M","-2.93%"
"23-09-2020","11,131.85","11,258.75","11,259.55","11,024.40","714.93M","-0.20%"
"22-09-2020","11,153.65","11,301.75","11,302.20","11,084.65","672.25M","-0.86%"
"21-09-2020","11,250.55","11,503.80","11,535.25","11,218.50","602.85M","-2.21%"
"18-09-2020","11,504.95","11,584.10","11,584.10","11,446.10","764.15M","-0.10%"
"17-09-2020","11,516.10","11,539.40","11,587.20","11,498.50","517.73M","-0.76%"
"16-09-2020","11,604.55","11,538.45","11,618.10","11,516.75","527.80M","0.72%"
"15-09-2020","11,521.80","11,487.20","11,535.95","11,442.25","506.67M","0.71%"
"14-09-2020","11,440.05","11,540.15","11,568.90","11,383.55","642.27M","-0.21%"
"11-09-2020","11,464.45","11,447.80","11,493.50","11,419.90","554.79M","0.13%"
"10-09-2020","11,449.25","11,363.30","11,464.05","11,327.40","679.42M","1.52%"
"09-09-2020","11,278.00","11,218.60","11,298.15","11,185.15","728.88M","-0.35%"
"08-09-2020","11,317.35","11,378.55","11,437.25","11,290.45","572.24M","-0.33%"
"07-09-2020","11,355.05","11,359.60","11,381.15","11,251.70","560.32M","0.19%"
"04-09-2020","11,333.85","11,354.40","11,452.05","11,303.65","681.34M","-1.68%"
"03-09-2020","11,527.45","11,566.20","11,584.95","11,507.65","607.12M","-0.07%"
"02-09-2020","11,535.00","11,478.55","11,554.75","11,430.40","593.49M","0.56%"
"01-09-2020","11,470.25","11,464.30","11,553.55","11,366.90","783.77M","0.73%"
"31-08-2020","11,387.50","11,777.55","11,794.25","11,325.85","1.37B","-2.23%"
"28-08-2020","11,647.60","11,602.95","11,686.05","11,589.40","807.00M","0.76%"
