"Token","ShortName","Series","CompanyName","ticksize","Lotsize","DateOfListing","DateOfDeListing","IssuePrice","FaceValue","ISINCode","52WeeksHigh","52WeeksLow","LifeTimeHigh","LifeTimeLow","HighDate","LowDate","Symbol","InstrumentType","PermittedToTrade","IssueCapital","WarningPercent","FreezePercent","CreditRating","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","BoardLotQty","Name","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","ExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MFill","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","EGM","AGM","Interest","Bonus","Rights","Dividends","LocalUpdateDateTime","DeleteFlag","Remarks","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotlMarketEligibility","SpotMarketEligibility","AuctionlMarketEligibility","MarginPercentage","ExchangeCode"
"19218","VALLAB","EQ","VALIANT LABORATORIES LIMITED",0.01,1,"","",0,10,"INE0JWS01017",171.9,75.2,214.95,75.2,"","","",0,0,0,91.89,61.26,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","VALIANTLAB"
"1922","KOTMAH","EQ","KOTAK MAHINDRA BANK LTD",0.01,1,"","",0,5,"INE237A01028",2202.5,1543.85,2253,0.63,"","","",0,0,0,2388.3,1954.1,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","KOTAKBANK"
"19223","TCIEXP","EQ","TCI EXPRESS LIMITED",0.01,1,"","",0,2,"INE586V01016",1270,610.2,2572,268.5,"","","",0,0,0,735.3,490.2,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","TCIEXP"
"19224","MIRSEN","EQ","MIRAE ASSET S&P BSE SENSEX ETF",0.01,1,"","",0,10,"INF769K01KT9",100,72,100,62.27,"","","",0,0,0,94.45,62.96,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SENSEXETF"
"19233","AARSUR","EQ","AARTI SURFACTANTS LIMITED",0.01,1,"","",0,10,"INE09EO01013",918,400,1858.13,218.7,"","","",0,0,0,420.7,380.7,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","AARTISURF"
"19234","LAULAB","EQ","LAURUS LABS LIMITED",0.01,1,"","",0,2,"INE947Q01028",646.2,385.45,723.75,59,"","","",0,0,0,674.7,552.1,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","LAURUSLABS"
"19235","INDMFA","EQ","INDIAN METALS & FERRO ALLOYS L",0.01,1,"","",0,10,"INE919H01018",998.8,587.05,998.8,45.98,"","","",0,0,0,733.35,488.95,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","IMFA"
"19237","MOTNIF","EQ","MOTILAL OSWAL NIFTY 500 ETF",0.01,1,"","",0,10,"INF247L01BU1",25,19.73,25,16.3,"","","",0,0,0,25.95,17.3,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","MONIFTY500"
"19256","ARAPET","SM","ARABIAN PETROLEUM LIMITED",0.01,1,"","",0,10,"INE08NJ01024",115,63,124.65,63,"","","",0,0,0,75.75,50.55,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","ARABIAN"
"19257","CHON44","D1","CHOLAMANDALAM IN & FIN CO",0.01,1,"","",0,1,"INE121A08PJ0",0,0,0,0,"","","",0,0,0,120000,80000,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","CHOLAFIN"
"19265","BLIGVS","EQ","BLISS GVS PHARMA LIMITED",0.01,1,"","",0,1,"INE416D01022",185.5,92.15,221,18.8,"","","",0,0,0,141.33,94.22,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","BLISSGVS"
