ReportIndex,Report Name,API URL,Frequency,Updation Time,Interval,Input,Input Description,Column_Name,Column_DataType,Column_Description
,,,,,,,,nat_trans,varchar(50),NAT TRANS
,,,,,,,,assoc,float,ASSOC
,,,,,,,,subsi,float,SUBSI
,,,,,,,,kmp,float,KMP
,,,,,,,,rkmp,float,RKMP
,,,,,,,,jv,float,JV
,,,,,,,,ind,float,IND
,,,,,,,,oth,float,OTH
,,,,,,,,hc,float,HC
,,,,,,,,type,varchar(50),TYPE
,,,,,,,,subtype,varchar(50),SUBT YPE
,,,,,,,,total,float,TOTAL
,,,,,,,,class,varchar(50),CLASS
,,,,,,,,flag,varchar(20),FLAG
13,"Subsidiaries_JVs_Collaborations",http://jwttoken.cmots.com/Aidea/api/Subsidiaries_JVs_Collaborations/6,EOD,11:30 PM,Once on trading day,cocode ,CMOTS Company code,Output,OutputType,OutDesc
,,,,,,,,co_code,Int,CMOTS Company Code 
,,,,,,,,lname,varchar(50),LNAME
,,,,,,,,coll_name,varchar(50),COLL_NAME
,,,,,,,,coll_ctry,varchar(50),COLL_CTRY
,,,,,,,,coll_country,varchar(50),PERC_SH
,,,,,,,,PERC_SH,float,PERC_SH
14,Deferred Tax,http://jwttoken.cmots.com/Aidea/api/Deferred_Tax/6,EOD,11:30 PM,Once on trading day,cocode ,CMOTS Company code,Output,OutputType,OutDesc
,,,,,,,,co_code,Int,CMOTS company code 
,,,,,,,,yrc,Int,Year
,,,,,,,,aseg1,varchar(50),ASEG1
,,,,,,,,aval1,float,AVAL1
,,,,,,,,aseg2,varchar(50),ASEG2
,,,,,,,,aval2,float,AVAL2
,,,,,,,,aseg3,varchar(50),ASEG3
,,,,,,,,aval3,float,AVAL3
,,,,,,,,aseg4,varchar(50),ASEG4
,,,,,,,,aval4,float,AVAL4
,,,,,,,,aseg5,varchar(50),ASEG5
,,,,,,,,aval5,float,AVAL5
,,,,,,,,aseg6,varchar(50),ASEG6
,,,,,,,,aval6,float,AVAL6
,,,,,,,,aseg7,varchar(50),ASEG7
,,,,,,,,aval7,float,AVAL7
,,,,,,,,aseg8,varchar(50),ASEG8
,,,,,,,,aval8,float,AVAL8
,,,,,,,,aseg9,varchar(50),ASEG9
,,,,,,,,aval9,float,AVAL9
,,,,,,,,aseg10,varchar(50),ASEG10
,,,,,,,,aval10,float,AVAL10
,,,,,,,,aseg11,varchar(50),ASEG11
,,,,,,,,aval11,float,AVAL11
,,,,,,,,aseg12,float,ASEG12
,,,,,,,,aval12,float,AVAL12
,,,,,,,,aseg13,int,ASEG13
,,,,,,,,aval13,varchar(50),AVAL13
,,,,,,,,aseg14,float,ASEG14
,,,,,,,,aval14,varchar(50),AVAL14
,,,,,,,,aseg15,float,ASEG15
,,,,,,,,aval15,varchar(50),AVAL15
,,,,,,,,aseg16,float,ASEG16
,,,,,,,,aval16,varchar(50),AVAL16
,,,,,,,,aseg17,float,ASEG17
,,,,,,,,aval17,varchar(50),AVAL17
,,,,,,,,aseg18,float,ASEG18
,,,,,,,,aval18,varchar(50),AVAL18
,,,,,,,,aseg19,float,ASEG19
,,,,,,,,aval19,varchar(50),AVAL19
,,,,,,,,aseg20,float,ASEG20
,,,,,,,,aval20,varchar(50),AVAL20
,,,,,,,,lseg1,float,LSEG1
,,,,,,,,lval1,varchar(50),LVAL1
,,,,,,,,lseg2,float,LSEG2
,,,,,,,,lval2,varchar(50),LVAL2
,,,,,,,,lseg3,float,LSEG3
,,,,,,,,lval3,varchar(50),LVAL3
,,,,,,,,lseg4,float,LSEG4
,,,,,,,,lval4,varchar(50),LVAL4
,,,,,,,,lseg5,float,LSEG5
,,,,,,,,lval5,varchar(50),LVAL5
,,,,,,,,lseg6,float,LSEG6
,,,,,,,,lval6,varchar(50),LVAL6
,,,,,,,,lseg7,float,LSEG7
,,,,,,,,lval7,varchar(50),LVAL7
,,,,,,,,lseg8,float,LSEG8
,,,,,,,,lval8,varchar(50),LVAL8
,,,,,,,,lseg9,float,LSEG9
,,,,,,,,lval9,varchar(50),LVAL9
,,,,,,,,lseg10,float,LSEG10
,,,,,,,,lval10,varchar(50),LVAL10
,,,,,,,,lseg11,float,LSEG11
,,,,,,,,lval11,varchar(50),LVAL11
,,,,,,,,lseg12,float,LSEG12
,,,,,,,,lval12,varchar(50),LVAL12
,,,,,,,,lseg13,float,LSEG13
,,,,,,,,lval13,varchar(50),LVAL13
,,,,,,,,lseg14,float,LSEG14
,,,,,,,,lval14,varchar(50),LVAL14
,,,,,,,,lseg15,float,LSEG15
,,,,,,,,lval15,varchar(50),LVAL15
,,,,,,,,lseg16,float,LSEG16
,,,,,,,,lval16,varchar(50),LVAL16
,,,,,,,,lseg17,float,LSEG17
,,,,,,,,lval17,varchar(50),LVAL17
,,,,,,,,lseg18,float,LSEG18
,,,,,,,,lval18,varchar(50),LVAL18
,,,,,,,,lseg19,float,LSEG19
,,,,,,,,lval19,varchar(50),LVAL19
,,,,,,,,lseg20,float,LSEG20
,,,,,,,,lval20,varchar(50),LVAL20
,,,,,,,,atotal,float,ATOTAL
,,,,,,,,ltotal,varchar(50),LTOTAL
,,,,,,,,year,float,YEAR
,,,,,,,,flag,Varchar(50),FLAG
15,R_and_D,http://jwttoken.cmots.com/Aidea/api/R_and_D/6,EOD,11:30 PM,Once on trading day,cocode ,CMOTS Company code,Output,OutputType,OutDesc
,,,,,,,,co_code,int,CMOTS company code 
,,,,,,,,yrc,int ,Year Count
,,,,,,,,capital,float,Capital
,,,,,,,,recurring,float,Recurring
,,,,,,,,percentage,float,Percentage
,,,,,,,,year,float,Year
,,,,,,,,flag,varchar,Flag
16,Chronological History,http://jwttoken.cmots.com/Aidea/api/ChronologicalHistory/6,EOD,11:30 PM,Once on trading day,cocode ,CMOTS Company code,Output,OutputType,OutDesc
,,,,,,,,co_code,Int,CMOTS Company Code 
,,,,,,,,lname,Varchar (100),Company Long Name
,,,,,,,,yrc,int ,year
,,,,,,,,eqtyason,varchar(50),Equity as on 
,,,,,,,,eqty,float,Equity 
,,,,,,,,remarks,varchar(500),Remark 
17,Company History,http://jwttoken.cmots.com/Aidea/api/CompanyHistory/6,EOD,11:30 PM,Once on trading day,cocode ,CMOTS Company code,Output,OutputType,OutDesc
,,,,,,,,co_code,Int,CMOTS Company Code 
,,,,,,,,lname,Varchar (100),Company Long Name
,,,,,,,,memo,ntext,company history description - Memo
18,Location,http://jwttoken.cmots.com/Aidea/api/locations/6,EOD,11:30 PM,Once on trading day,cocode ,CMOTS Company code,Output,OutputType,OutDesc
,,,,,,,,co_code,int,CMOTS company code 
,,,,,,,,type,varchar(50),TYPE
,,,,,,,,add1,varchar(50),ADD1
,,,,,,,,add2,varchar(50),ADD2
,,,,,,,,add3,varchar(50),ADD3
,,,,,,,,city,varchar(50),CITY
,,,,,,,,pin,varchar(50),PIN
,,,,,,,,tel1,varchar(50),TEL1
,,,,,,,,fax1,varchar(50),FAX1
,,,,,,,,st_name,varchar(50),ST_NAME
19,Credit Rating Info,http://jwttoken.cmots.com/Aidea/api/CreditRatingInfo/476,EOD,11:30 PM,Once on trading day,cocode ,CMOTS Company code,Output,OutputType,OutDesc
,,,,,,,,co_code,Int,CMOTS Company Code 
,,,,,,,,ratdate,datetime,RATDATE
,,,,,,,,sectype,varchar(50),SEC TYPE
,,,,,,,,amount,Int,AMOUNT
